bindingClass casrn SMILES 
0 57-50-1 O[C@H]1[C@H](O[C@H](CO)[C@@H](O)[C@@H]1O)O[C@]1(CO)O[C@H](CO)[C@@H](O)[C@@H]1O
1 68-96-2 CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
1 53-16-7 C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc43)[C@@H]1CCC2=O
1 2971-36-0 Oc1ccc(cc1)C(c1ccc(O)cc1)C(Cl)(Cl)Cl
1 90357-06-5 CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1cc(c(cc1)C#N)C(F)(F)F
1 84-16-2 CC[C@H]([C@H](CC)c1ccc(O)cc1)c1ccc(O)cc1
1 474-86-2 C[C@]12CC[C@@H]3c4ccc(O)cc4CC=C3[C@@H]1CCC2=O
1 57-83-0 CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C
1 520-36-5 Oc1cc(O)cc2OC(=CC(=O)c12)c1ccc(O)cc1
0 118-56-9 CC1CC(CC(C)(C)C1)OC(=O)c1ccccc1O
1 63-05-8 C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CCC2=O
0 27314-13-2 CNC1C=NN(C(=O)C=1Cl)c1cc(ccc1)C(F)(F)F
0 446-72-0 Oc1cc(O)cc2OC=C(C(=O)c12)c1ccc(O)cc1
1 DB00621 CC12CCC3C(CCC4CC(=O)OCC43C)C1CCC2(C)O
0 67-30-1 Oc1c(I)cc(cc1I)Oc1c(I)cc(CC(O)=O)cc1I
1 53-43-0 C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CCC2=O
1 56-53-1 CC/C(/c1ccc(O)cc1)=C(/CC)\c1ccc(O)cc1
1 289716-94-5 CNCc1cc(F)ccc1Oc1cc(Cl)c(Cl)cc1
1 131-55-5 Oc1cc(O)c(cc1)C(=O)c1ccc(O)cc1O
1 5315-79-7 Oc1ccc2ccc3cccc4ccc1c2c34
1 50-22-6 C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@]2(C)[C@H](CC[C@H]21)C(=O)CO
1 57-85-2 CCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
0 139149-55-6 NC(=O)N(O)[C@@H]1COc2cc(ccc21)OCc1ccccc1
1 DB00858 CC1CC2(C)C3CCC4(C)C(O)CCC4C3CCC2CC1=O
1 97-23-4 Oc1ccc(Cl)cc1Cc1cc(Cl)ccc1O
1 58-18-4 C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(C)O
0 102-06-7 N=C(Nc1ccccc1)Nc1ccccc1
0 81-81-2|129-06-6 CC(=O)CC(C1=C(O)c2ccccc2OC1=O)c1ccccc1
1 77-40-7 CCC(C)(c1ccc(O)cc1)c1ccc(O)cc1
0 131341-86-1 N#Cc1c[nH]cc1-c1cccc2OC(F)(F)Oc21
1 864283-48-7 NC(=O)CN(CC(F)(F)F)c1cc(c(cc1)C#N)C(F)(F)F
1 DB00367 CCC12CCC3C4CCC(=O)C=C4CCC3C1CCC2(O)C#C
0 177785-47-6 C[C@@H](CC)[C@@H](C(O)=O)N1Sc2ccccc2C1=O
1 80-05-7 CC(C)(c1ccc(O)cc1)c1ccc(O)cc1
0 118-58-1 Oc1ccccc1C(=O)OCc1ccccc1
0 15307-79-6 OC(=O)Cc1ccccc1Nc1c(Cl)cccc1Cl
0 480-40-0 Oc1cc(O)cc2OC(=CC(=O)c12)c1ccccc1
1 126833-17-8 CC1(CCCCC1)C(=O)Nc1ccc(O)c(Cl)c1Cl
0 842-07-9 Oc1ccc2ccccc2c1/N=N/c1ccccc1
0 4065-45-6 COc1cc(O)c(cc1S(O)(=O)=O)C(=O)c1ccccc1
1 68-22-4 C[C@]12CC[C@@H]3[C@H]4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@]2(O)C#C
0 77-06-5 C[C@]12[C@H]3[C@H](C(O)=O)[C@@]45C[C@@](O)(CC[C@H]4[C@@]3(C=C[C@@H]1O)OC2=O)C(=C)C5
0 2528-16-7 OC(=O)c1ccccc1C(=O)OCc1ccccc1
0 35367-38-5 O=C(Nc1ccc(Cl)cc1)NC(=O)c1c(F)cccc1F
1 57-97-6 Cc1c2ccc3ccccc3c2c(C)c2ccccc12
0 486-66-8 Oc1ccc(cc1)C1=COc2cc(O)ccc2C1=O
1 604-75-1 OC1N=C(c2cc(Cl)ccc2NC1=O)c1ccccc1
1 3380-34-5 Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl
0 1143-38-0 Oc1cccc2Cc3cccc(O)c3C(=O)c12
0 14351-66-7 CC(C)C1CC[C@H]2C(C=1)=CC[C@H]1[C@@](C)(CCC[C@]21C)C(O)=O
0 133855-98-8 Fc1ccc(cc1)C1(C[n]2c[n]c[n]2)OC1c1ccccc1Cl
0 122836-35-5 CC1=NN(C(=O)N1C(F)F)c1cc(NS(C)(=O)=O)c(Cl)cc1Cl
0 56-55-3 c1c2c3ccccc3ccc2cc2ccccc21
1 510-15-6 CCOC(=O)C(O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1
1 NOCAS_47351 CN(C(C)C)C(=O)[C@@H](Cc1ccc(CN2[C@H](C)CCC[C@@H]2C)cc1)NC(=O)C[C@@H](NS(=O)(=O)c1cc2ccc(cc2cc1)OC)c1cc2OCOc2cc1
0 3739-38-6 OC(=O)c1cc(ccc1)Oc1ccccc1
0 117-79-3 Nc1cc2c(cc1)C(=O)c1ccccc1C2=O
0 87818-31-3 C[C@@]12CC[C@@](C[C@@H]1OCc1ccccc1C)(O2)C(C)C
0 94-18-8 Oc1ccc(cc1)C(=O)OCc1ccccc1
1 107534-96-3 CC(C)(C)C(O)(C[n]1c[n]c[n]1)CCc1ccc(Cl)cc1
0 143390-89-0 Cc1ccccc1OCc1ccccc1/C(=N\OC)/C(=O)OC
1 DB01541 CC12CCC3C(CCC4=CC(=O)C=CC43C)C1CCC2O
1 53-03-2 C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO
1 68694-11-1 CCCOC/C(=N\c1ccc(Cl)cc1C(F)(F)F)/[n]1c[n]cc1
0 102676-31-3 N#Cc1ccc(cc1)C1CCCc2c[n]c[n]21
0 86-87-3 OC(=O)Cc1cccc2ccccc21
0 58-72-0 C(=C(c1ccccc1)c1ccccc1)c1ccccc1
1 599-64-4 CC(C)(c1ccccc1)c1ccc(O)cc1
1 DB01481 CC12CCC3C(CCC4CC(=O)C=CC43C)C1CCC2O
0 668981-02-0 CC(C)c1[n][n]c2ccc(c[n]21)-c1oc[n]c1-c1cc(F)ccc1F
0 90-30-2 c1cccc2c(cccc21)Nc1ccccc1
0 113136-77-9 OC(=O)C1(CC1)C(=O)Nc1ccc(Cl)cc1Cl
0 28434-00-6 CC(C)=C[C@@H]1[C@@H](C(=O)O[C@H]2CC(=O)C(CC=C)=C2C)C1(C)C
0 205-99-2 c1c2c3c(cccc3-c3ccccc3-2)c2ccccc21
0 84087-01-4 OC(=O)c1c2[n]cc(Cl)cc2ccc1Cl
0 1742-14-9 CC(c1cc(C)c(C)cc1)c1cc(C)c(C)cc1
1 DB00624 CC12CCC3C(CCC4=CC(=O)CCC43C)C1CCC2O
1 53-19-0 ClC(Cl)C(c1ccccc1Cl)c1ccc(Cl)cc1
0 654055-01-3 Oc1cc(O)c(cc1)C1Oc2cc(O)cc(O)c2C(=O)C=1O
0 115-86-6 O=P(Oc1ccccc1)(Oc1ccccc1)Oc1ccccc1
1 72-54-8 ClC(Cl)C(c1ccc(Cl)cc1)c1ccc(Cl)cc1
1 120-32-1 Oc1ccc(Cl)cc1Cc1ccccc1
1 131-56-6 Oc1cc(O)c(cc1)C(=O)c1ccccc1
1 79-94-7 CC(C)(c1cc(Br)c(O)c(Br)c1)c1cc(Br)c(O)c(Br)c1
0 76738-62-0 CC(C)(C)[C@@H](O)[C@@H](Cc1ccc(Cl)cc1)[n]1c[n]c[n]1
1 612-82-8|119-93-7 Cc1cc(ccc1N)-c1cc(C)c(N)cc1
0 50-29-3 ClC(Cl)(Cl)C(c1ccc(Cl)cc1)c1ccc(Cl)cc1
0 88671-89-0 CCCCC(C[n]1c[n]c[n]1)(C#N)c1ccc(Cl)cc1
0 17696-62-7 Oc1ccc(cc1)C(=O)Oc1ccccc1
0 141112-29-0 CS(=O)(=O)c1cc(ccc1C(=O)c1c[n]oc1C1CC1)C(F)(F)F
1 484-17-3 Oc1cc2ccccc2c2ccccc21
0 80-09-1 Oc1ccc(cc1)S(=O)(=O)c1ccc(O)cc1
0 96-83-3 CCC(Cc1c(I)cc(I)c(N)c1I)C(O)=O
0 6149-03-7 CCCCCCCCc1ccc(cc1)S(O)(=O)=O
1 206-44-0 c1ccc2c3c(cccc31)-c1ccccc1-2
1 6344-67-8 Oc1cc2c(Cc3ccccc-23)cc1
1 789-02-6 Clc1ccc(cc1)C(c1ccccc1Cl)C(Cl)(Cl)Cl
1 60207-90-1 CCCC1COC(C[n]2c[n]c[n]2)(O1)c1ccc(Cl)cc1Cl
0 57-41-0 O=C1NC(=O)C(N1)(c1ccccc1)c1ccccc1
1 72-55-9 ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1
0 58-14-0 CCc1[n]c(N)[n]c(N)c1-c1ccc(Cl)cc1
0 298-46-4 NC(=O)N1c2ccccc2C=Cc2ccccc12
1 125225-28-7 CC(C)C1CCC(Cc2ccc(Cl)cc2)C1(O)C[n]1c[n]c[n]1
0 69327-76-0 CC(C)(C)N=C1SCN(C(=O)N1C(C)C)c1ccccc1
0 491-80-5 COc1ccc(cc1)C1=COc2cc(O)cc(O)c2C1=O
0 525-82-6 O=C1C=C(Oc2ccccc21)c1ccccc1
0 24157-81-1 CC(C)c1cc2ccc(cc2cc1)C(C)C
1 129299-90-7 Cc1c2ccccc2[n]2C(=O)[C@@H](Cc3[n]c[nH]c3C)CCc21
0 22839-47-0 COC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](N)CC(O)=O
0 130-14-3 OS(=O)(=O)c1cccc2ccccc21
0 80-54-6 CC(C)(C)c1ccc(CC(C)C=O)cc1
0 21145-77-7 Cc1cc2c(cc1C(C)=O)C(C)(C)CC(C)C2(C)C
0 94-82-6 OC(=O)CCCOc1ccc(Cl)cc1Cl
0 1724-39-6 OC1CCCCCCCCCCC1
0 135080-03-4 NC(=O)N1c2cc(Cl)c(F)cc2C(C(=O)c2cc(Cl)c[s]2)C1=O
1 115-32-2 OC(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)C(Cl)(Cl)Cl
0 69-74-9 NC1C=CN([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)C(=O)N=1
1 140-66-9 CC(C)(C)CC(C)(C)c1ccc(O)cc1
0 527680-56-4 O=C(N[C@H]1CN2CCC1CC2)c1ccc2OCCOc2c1
0 349495-42-7 Cc1[n][n](CC)c2c1N=C(CNC2=O)c1ccc(O)cc1
0 32388-55-9 CC1(C)[C@H]2C[C@]3(CC(C(C)=O)=C2C)[C@H]1CC[C@H]3C
1 116255-48-2 Clc1cc(Cl)c(cc1)C1(CC(Br)CO1)C[n]1c[n]c[n]1
1 79983-71-4 CCCCC(O)(C[n]1c[n]c[n]1)c1ccc(Cl)cc1Cl
0 72-20-8 ClC1(Cl)[C@@]2(Cl)[C@@H]3[C@H]4C[C@H]([C@@H]5O[C@@H]54)[C@@H]3[C@]1(Cl)C(Cl)=C2Cl
1 2467-02-9 Oc1ccccc1Cc1ccccc1O
0 42874-03-3 CCOc1cc(ccc1[N+]([O-])=O)Oc1ccc(cc1Cl)C(F)(F)F
0 2433-14-9 OC1CCC(CC1)C1CCCCC1
1 92-04-6 Oc1cc(Cl)c(cc1)-c1ccccc1
1 1478-61-1 Oc1ccc(cc1)C(c1ccc(O)cc1)(C(F)(F)F)C(F)(F)F
1 67747-09-5 CCCN(CCOc1c(Cl)cc(Cl)cc1Cl)C(=O)[n]1cc[n]c1
0 2386-87-0 O=C(OCC1CC2OC2CC1)C1CC2OC2CC1
0 93-76-5 OC(=O)COc1cc(Cl)c(Cl)cc1Cl
0 13826-35-2 OCc1cc(ccc1)Oc1ccccc1
0 262376-75-0 OC12N=C(SC1Cc1cc(Cl)ccc21)c1ccccc1
0 129-00-0 c1cc2cccc3ccc4cccc1c4c32
0 120511-73-1 CC(C)(C#N)c1cc(C[n]2c[n]c[n]2)cc(c1)C(C)(C)C#N
0 147-24-0 CN(C)CCOC(c1ccccc1)c1ccccc1
0 532-02-5|120-18-3 OS(=O)(=O)c1cc2ccccc2cc1
0 101-02-0 c1ccccc1OP(Oc1ccccc1)Oc1ccccc1
0 120-46-7 O=C(CC(=O)c1ccccc1)c1ccccc1
0 115-28-6 OC(=O)C1C(C(O)=O)C2(Cl)C(Cl)=C(Cl)C1(Cl)C2(Cl)Cl
0 88-58-4 CC(C)(C)c1cc(O)c(cc1O)C(C)(C)C
0 188425-85-6 O=C(Nc1ccccc1-c1ccc(Cl)cc1)c1ccc[n]c1Cl
1 52806-53-8 CC(C)(O)C(=O)Nc1cc(c(cc1)[N+]([O-])=O)C(F)(F)F
1 15299-99-7 CC(Oc1cccc2ccccc21)C(=O)N(CC)CC
0 120-12-7 c1c2ccccc2cc2ccccc21
0 121-79-9 CCCOC(=O)c1cc(O)c(O)c(O)c1
0 309-00-2 ClC1(Cl)[C@@]2(Cl)[C@@H]3[C@@H]4C[C@@H](C=C4)[C@@H]3[C@]1(Cl)C(Cl)=C2Cl
0 117-99-7 Oc1ccccc1C(=O)c1ccccc1
0 123343-16-8 COc1cc([n]c([n]1)Sc1cccc(Cl)c1C(O)=O)OC
0 85-01-8 c1cc2ccccc2c2ccccc21
0 80-08-0 Nc1ccc(cc1)S(=O)(=O)c1ccc(N)cc1
0 94-81-5 Cc1cc(Cl)ccc1OCCCC(O)=O
0 69-09-0 CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc12
0 60-57-1 ClC1(Cl)[C@@]2(Cl)[C@@H]3[C@@H]4C[C@@H]([C@H]5O[C@H]54)[C@@H]3[C@]1(Cl)C(Cl)=C2Cl
0 1156-19-0 Cc1ccc(cc1)S(=O)(=O)NC(=O)NN1CCCCCC1
0 128-37-0 Cc1cc(c(O)c(c1)C(C)(C)C)C(C)(C)C
0 68157-60-8 O=C(Nc1ccccc1)Nc1cc(Cl)[n]cc1
0 131-57-7 COc1cc(O)c(cc1)C(=O)c1ccccc1
0 126-86-3 CC(O)(CC(C)C)C#CC(C)(O)CC(C)C
0 131-70-4 CCCCOC(=O)c1ccccc1C(O)=O
0 94361-06-5 CC(C1CC1)C(O)(C[n]1c[n]c[n]1)c1ccc(Cl)cc1
0 120-36-5 CC(Oc1ccc(Cl)cc1Cl)C(O)=O
0 1987-50-4 CCCCCCCc1ccc(O)cc1
1 112281-77-3 FC(F)C(F)(F)OCC(C[n]1c[n]c[n]1)c1ccc(Cl)cc1Cl
0 25812-30-0 Cc1cc(OCCCC(C)(C)C(O)=O)c(C)cc1
0 2122-70-5 CCOC(=O)Cc1cccc2ccccc21
1 83657-24-3 CC(C)(C)C(O)/C(=C\c1ccc(Cl)cc1Cl)/[n]1c[n]c[n]1
0 94-47-3 O=C(OCCc1ccccc1)c1ccccc1
0 149062-75-9 Clc1cc2N=C3CCCCCN3Cc2c(Cl)c1
1 92-69-3 Oc1ccc(cc1)-c1ccccc1
0 92-87-5 Nc1ccc(cc1)-c1ccc(N)cc1
0 83834-59-7 COc1ccc(/C=C/C(=O)OCC(CCCC)CC)cc1
1 20325-40-0|119-90-4 COc1cc(ccc1N)-c1cc(OC)c(N)cc1
0 118-55-8 Oc1ccccc1C(=O)Oc1ccccc1
0 73-22-3 N[C@@H](Cc1c[nH]c2ccccc21)C(O)=O
0 72-43-5 COc1ccc(cc1)C(c1ccc(cc1)OC)C(Cl)(Cl)Cl
0 117428-22-5 COC(=O)/C(=C/OC)/c1ccccc1COc1cccc([n]1)C(F)(F)F
0 2440-22-4 Cc1cc(c(O)cc1)-[n]1[n]c2ccccc2[n]1
0 838-88-0 Cc1cc(Cc2cc(C)c(N)cc2)ccc1N
0 101-55-3 Brc1ccc(cc1)Oc1ccccc1
0 23386-52-9 OS(=O)(=O)C(CC(=O)OC1CCCCC1)C(=O)OC1CCCCC1
0 56-72-4 CC1c2ccc(cc2OC(=O)C=1Cl)OP(=S)(OCC)OCC
0 55335-06-3 OC(=O)COc1[n]c(Cl)c(Cl)cc1Cl
0 35256-85-0 CC(C)(C)C(=O)N(Cc1ccccc1)C(C)C
1 29091-21-2 CCCN(CCC)c1c(cc(c(N)c1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O
0 55219-65-3 CC(C)(C)C(O)C(Oc1ccc(Cl)cc1)[n]1c[n]c[n]1
0 2934-05-6 CC(C)c1cc(ccc1O)C(C)C
0 94-75-7|2702-72-9 OC(=O)COc1ccc(Cl)cc1Cl
0 57-74-9 ClC1(Cl)C2(Cl)C3CC(Cl)C(Cl)C3C1(Cl)C(Cl)=C2Cl
0 121552-61-2 Cc1cc([n]c(Nc2ccccc2)[n]1)C1CC1
0 319-85-7 Cl[C@@H]1[C@@H](Cl)[C@H](Cl)[C@@H](Cl)[C@H](Cl)[C@H]1Cl
0 58-89-9 Cl[C@@H]1[C@@H](Cl)[C@H](Cl)[C@H](Cl)[C@@H](Cl)[C@@H]1Cl
1 136-77-6 CCCCCCc1ccc(O)cc1O
0 957-51-7 CN(C)C(=O)C(c1ccccc1)c1ccccc1
1 5153-25-3 CCCCC(COC(=O)c1ccc(O)cc1)CC
1 2425-06-1 O=C1C2CC=CCC2C(=O)N1SC(Cl)(Cl)C(Cl)Cl
0 96-70-8 CCc1cc(c(O)cc1)C(C)(C)C
0 86-73-7 C1c2ccccc2-c2ccccc21
0 50-35-1 O=C1CCC(C(=O)N1)N1C(=O)c2ccccc2C1=O
0 125-84-8 CCC1(CCC(=O)NC1=O)c1ccc(N)cc1
0 298198-52-4 O=C(Oc1ccc(Br)cc1)N1CCN2CCC1CC2
1 81777-89-1 CC1(C)CON(Cc2ccccc2Cl)C1=O
0 98967-40-9 Cc1cc[n]2[n]c([n]c2[n]1)S(=O)(=O)Nc1c(F)cccc1F
0 63-25-2 CNC(=O)Oc1cccc2ccccc21
0 87-86-5 Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl
1 143-50-0 O=C1C2(Cl)C3(Cl)C4(Cl)C2(Cl)C2(Cl)C(Cl)(C3(Cl)C21Cl)C4(Cl)Cl
0 26225-79-6 CCOC1Oc2ccc(cc2C1(C)C)OS(C)(=O)=O
0 493-52-7 CN(C)c1ccc(cc1)/N=N/c1ccccc1C(O)=O
0 3056-17-5 CC1=CN([C@H]2C=C[C@@H](CO)O2)C(=O)NC1=O
0 92-84-2 c1cccc2Nc3ccccc3Sc21
0 4107-98-6 CC(C)N(C(C)C)c1ccccc1
0 2310-17-0 CCOP(=S)(OCC)SCN1C(=O)Oc2cc(Cl)ccc12
1 105624-86-0 CC(C)c1cccc(C(C)C)c1N1C(=O)c2cc(O)ccc2C1=O
0 120-51-4 O=C(OCc1ccccc1)c1ccccc1
0 13684-56-5 CCOC(=O)Nc1cccc(c1)OC(=O)Nc1ccccc1
0 1929-73-3 CCCCOCCOC(=O)COc1ccc(Cl)cc1Cl
0 732-26-3 CC(C)(C)c1cc(c(O)c(c1)C(C)(C)C)C(C)(C)C
0 128-39-2 CC(C)(C)c1cccc(c1O)C(C)(C)C
0 2917-73-9 CCCCOC(=O)CCCCCCCC(=O)OCCCC
0 98730-04-2 CC1COc2ccccc2N1C(=O)C(Cl)Cl
0 94-74-6|3653-48-3 Cc1cc(Cl)ccc1OCC(O)=O
0 14901-07-6 CC1CCCC(C)(C)C=1C=CC(C)=O
0 93-08-3 CC(=O)c1cc2ccccc2cc1
0 101-77-9 Nc1ccc(Cc2ccc(N)cc2)cc1
0 119-61-9 O=C(c1ccccc1)c1ccccc1
0 208-96-8 c1ccc2C=Cc3cccc1c32
0 83-32-9 C1Cc2cccc3cccc1c23
0 66-71-7 c1cc2ccc[n]c2c2[n]cccc21
0 100-21-0 OC(=O)c1ccc(cc1)C(O)=O
0 3194-55-6 BrC1CCC(Br)C(Br)CCC(Br)C(Br)CCC1Br
0 15310-01-7 O=C(Nc1ccccc1)c1ccccc1I
0 72490-01-8 CCOC(=O)NCCOc1ccc(cc1)Oc1ccccc1
0 451-40-1 O=C(Cc1ccccc1)c1ccccc1
0 86386-73-4 OC(C[n]1c[n]c[n]1)(C[n]1c[n]c[n]1)c1ccc(F)cc1F
0 159138-81-5 CS(=O)(=O)c1cc(ccc1C(C)C)C(=O)N=C(N)N
0 92-68-2 O=C1CCC(CC1)C1CCCCC1
0 732-11-6 COP(=S)(OC)SCN1C(=O)c2ccccc2C1=O
0 101-81-5 C(c1ccccc1)c1ccccc1
0 127-51-5 C/C(=C\C1C(C)=CCCC1(C)C)/C(C)=O
0 51632-16-7 BrCc1cc(ccc1)Oc1ccccc1
0 149979-41-9 CCC(=NOC/C=C/Cl)C1=C(O)CC(CC1=O)C1CCOCC1
0 43121-43-3 CC(C)(C)C(=O)C(Oc1ccc(Cl)cc1)[n]1c[n]c[n]1
0 1563-38-8 CC1(C)Cc2cccc(O)c2O1
0 103-33-3 c1ccccc1N=Nc1ccccc1
0 NOCAS_47292 NCC1(CC2NC(=O)ON=2)CCCCC1
0 552-30-7 OC(=O)c1cc2c(cc1)C(=O)OC2=O
0 114311-32-9 CC1(N=C(NC1=O)c1[n]cc(COC)cc1C(O)=O)C(C)C
0 1861-32-1 COC(=O)c1c(Cl)c(Cl)c(c(Cl)c1Cl)C(=O)OC
0 489-01-0 COc1cc(c(O)c(c1)C(C)(C)C)C(C)(C)C
0 1806-26-4 CCCCCCCCc1ccc(O)cc1
0 712-50-5 O=C(C1CCCCC1)c1ccccc1
0 328-84-7 FC(F)(F)c1cc(Cl)c(Cl)cc1
0 90-15-3 Oc1cccc2ccccc21
0 132-64-9 c1cccc2oc3ccccc3c21
0 132-65-0 c1cccc2[s]c3ccccc3c21
0 4376-20-9 CCCCC(COC(=O)c1ccccc1C(O)=O)CC
0 51338-27-3 COC(=O)C(C)Oc1ccc(cc1)Oc1ccc(Cl)cc1Cl
0 6846-50-0 CC(C)C(=O)OC(C(C)C)C(C)(C)COC(=O)C(C)C
1 34256-82-1 Cc1cccc(CC)c1N(COCC)C(=O)CCl
0 128-95-0 Nc1ccc(N)c2c1C(=O)c1ccccc1C2=O
0 4638-48-6 Oc1ccc(Cl)cc1C(=O)Nc1ccccc1
1 115-29-7 O=S1OCC2C(CO1)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl
1 156-10-5 O=Nc1ccc(cc1)Nc1ccccc1
0 117-08-8 O=C1OC(=O)c2c1c(Cl)c(Cl)c(Cl)c2Cl
0 51-30-9 CC(C)NCC(O)c1ccc(O)c(O)c1
0 73-31-4 CC(=O)NCCc1c[nH]c2ccc(cc12)OC
0 5234-68-4 CC1OCCSC=1C(=O)Nc1ccccc1
0 1024-57-3 ClC1(Cl)C2(Cl)C3C4OC4C(Cl)C3C1(Cl)C(Cl)=C2Cl
0 14816-18-3 CCOP(=S)(O/N=C(\C#N)/c1ccccc1)OCC
0 93-65-2 Cc1cc(Cl)ccc1OC(C)C(O)=O
0 2550-40-5 C1CCCCC1SSC1CCCCC1
0 138261-41-3 [O-][N+](=O)/N=C1\NCCN\1Cc1ccc(Cl)[n]c1
0 127-41-3 CC1=CCCC(C)(C)C1/C=C/C(C)=O
0 51-52-5 CCCC1=CC(=O)NC(=S)N1
1 156052-68-5 Cc1c(Cl)cc(cc1Cl)C(=O)NC(C)(CC)C(=O)CCl
0 59-40-5 Nc1ccc(cc1)S(=O)(=O)Nc1c[n]c2ccccc2[n]1
0 1698-60-8 NC1C=NN(C(=O)C=1Cl)c1ccccc1
0 1825-21-4 COc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl
0 28249-77-6 CCN(CC)C(=O)SCc1ccc(Cl)cc1
0 101-86-0 CCCCCCC(C=O)=Cc1ccccc1
0 609-54-1|827-19-0 Cc1cc(c(C)cc1)S(O)(=O)=O
0 22224-92-6 Cc1cc(ccc1SC)OP(=O)(NC(C)C)OCC
0 1918-00-9 COc1c(C(O)=O)c(Cl)ccc1Cl
0 30516-87-1 CC1=CN([C@H]2C[C@H](N=[N+]=N)[C@@H](CO)O2)C(=O)NC1=O
0 571-58-4 Cc1ccc(C)c2ccccc12
0 99-62-7 CC(C)c1cc(ccc1)C(C)C
0 104206-82-8 CS(=O)(=O)c1cc(c(cc1)C(=O)C1C(=O)CCCC1=O)[N+]([O-])=O
0 4602-84-0 CC(C)=CCCC(C)=CCCC(C)=CCO
0 122-88-3 OC(=O)COc1ccc(Cl)cc1
0 90-72-2 CN(C)Cc1cc(CN(C)C)c(O)c(CN(C)C)c1
0 66357-35-5 CNC(=C[N+]([O-])=O)NCCSCc1ccc(CN(C)C)o1
0 4904-61-4 C1CC=CCCC=CCCC=C1
0 104795-68-8 COc1cc2c(OC(C)C)c([s]c2cc1)C(=O)Nc1[nH][n][n][n]1
0 7011-83-8 CCCCCCC1(C)CCC(=O)O1
0 90-12-0 Cc1cccc2ccccc21
0 81406-37-3 CCCCCCC(C)OC(=O)COc1[n]c(F)c(Cl)c(N)c1Cl
0 69-72-7 Oc1ccccc1C(O)=O
