bindingClass casrn SMILES
1 126833-17-8 CC1(CCCCC1)C(=O)Nc1ccc(O)c(Cl)c1Cl
1 68-22-4 C[C@]12CC[C@@H]3[C@H]4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@]2(O)C#C
1 57-97-6 Cc1c2ccc3ccccc3c2c(C)c2ccccc12
1 604-75-1 OC1N=C(c2cc(Cl)ccc2NC1=O)c1ccccc1
1 3380-34-5 Oc1cc(Cl)ccc1Oc1ccc(Cl)cc1Cl
1 510-15-6 CCOC(=O)C(O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1
1 NOCAS_47351 CN(C(C)C)C(=O)[C@@H](Cc1ccc(CN2[C@H](C)CCC[C@@H]2C)cc1)NC(=O)C[C@@H](NS(=O)(=O)c1cc2ccc(cc2cc1)OC)c1cc2OCOc2cc1
1 107534-96-3 CC(C)(C)C(O)(C[n]1c[n]c[n]1)CCc1ccc(Cl)cc1
1 DB01541 CC12CCC3C(CCC4=CC(=O)C=CC43C)C1CCC2O
1 53-03-2 C[C@]12CC(=O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@@]43C)[C@@H]1CC[C@]2(O)C(=O)CO
1 68694-11-1 CCCOC/C(=N\c1ccc(Cl)cc1C(F)(F)F)/[n]1c[n]cc1
1 599-64-4 CC(C)(c1ccccc1)c1ccc(O)cc1
1 DB01481 CC12CCC3C(CCC4CC(=O)C=CC43C)C1CCC2O
1 DB00624 CC12CCC3C(CCC4=CC(=O)CCC43C)C1CCC2O
1 53-19-0 ClC(Cl)C(c1ccccc1Cl)c1ccc(Cl)cc1
1 72-54-8 ClC(Cl)C(c1ccc(Cl)cc1)c1ccc(Cl)cc1
1 120-32-1 Oc1ccc(Cl)cc1Cc1ccccc1
1 131-56-6 Oc1cc(O)c(cc1)C(=O)c1ccccc1
1 79-94-7 CC(C)(c1cc(Br)c(O)c(Br)c1)c1cc(Br)c(O)c(Br)c1
1 612-82-8|119-93-7 Cc1cc(ccc1N)-c1cc(C)c(N)cc1
1 484-17-3 Oc1cc2ccccc2c2ccccc21
1 206-44-0 c1ccc2c3c(cccc31)-c1ccccc1-2
1 6344-67-8 Oc1cc2c(Cc3ccccc-23)cc1
1 789-02-6 Clc1ccc(cc1)C(c1ccccc1Cl)C(Cl)(Cl)Cl
1 60207-90-1 CCCC1COC(C[n]2c[n]c[n]2)(O1)c1ccc(Cl)cc1Cl
1 72-55-9 ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1
1 125225-28-7 CC(C)C1CCC(Cc2ccc(Cl)cc2)C1(O)C[n]1c[n]c[n]1
1 129299-90-7 Cc1c2ccccc2[n]2C(=O)[C@@H](Cc3[n]c[nH]c3C)CCc21
1 115-32-2 OC(c1ccc(Cl)cc1)(c1ccc(Cl)cc1)C(Cl)(Cl)Cl
1 140-66-9 CC(C)(C)CC(C)(C)c1ccc(O)cc1
1 116255-48-2 Clc1cc(Cl)c(cc1)C1(CC(Br)CO1)C[n]1c[n]c[n]1
1 79983-71-4 CCCCC(O)(C[n]1c[n]c[n]1)c1ccc(Cl)cc1Cl
1 2467-02-9 Oc1ccccc1Cc1ccccc1O
1 92-04-6 Oc1cc(Cl)c(cc1)-c1ccccc1
1 1478-61-1 Oc1ccc(cc1)C(c1ccc(O)cc1)(C(F)(F)F)C(F)(F)F
1 67747-09-5 CCCN(CCOc1c(Cl)cc(Cl)cc1Cl)C(=O)[n]1cc[n]c1
1 52806-53-8 CC(C)(O)C(=O)Nc1cc(c(cc1)[N+]([O-])=O)C(F)(F)F
1 15299-99-7 CC(Oc1cccc2ccccc21)C(=O)N(CC)CC
1 112281-77-3 FC(F)C(F)(F)OCC(C[n]1c[n]c[n]1)c1ccc(Cl)cc1Cl
1 83657-24-3 CC(C)(C)C(O)/C(=C\c1ccc(Cl)cc1Cl)/[n]1c[n]c[n]1
1 92-69-3 Oc1ccc(cc1)-c1ccccc1
1 20325-40-0|119-90-4 COc1cc(ccc1N)-c1cc(OC)c(N)cc1
1 29091-21-2 CCCN(CCC)c1c(cc(c(N)c1[N+]([O-])=O)C(F)(F)F)[N+]([O-])=O
1 136-77-6 CCCCCCc1ccc(O)cc1O
1 5153-25-3 CCCCC(COC(=O)c1ccc(O)cc1)CC
1 2425-06-1 O=C1C2CC=CCC2C(=O)N1SC(Cl)(Cl)C(Cl)Cl
1 81777-89-1 CC1(C)CON(Cc2ccccc2Cl)C1=O
1 143-50-0 O=C1C2(Cl)C3(Cl)C4(Cl)C2(Cl)C2(Cl)C(Cl)(C3(Cl)C21Cl)C4(Cl)Cl
1 105624-86-0 CC(C)c1cccc(C(C)C)c1N1C(=O)c2cc(O)ccc2C1=O
1 34256-82-1 Cc1cccc(CC)c1N(COCC)C(=O)CCl
1 115-29-7 O=S1OCC2C(CO1)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl
1 156-10-5 O=Nc1ccc(cc1)Nc1ccccc1
1 156052-68-5 Cc1c(Cl)cc(cc1Cl)C(=O)NC(C)(CC)C(=O)CCl
1 133-06-2 O=C1C2CC=CCC2C(=O)N1SC(Cl)(Cl)Cl
1 50471-44-8 CC1(C=C)OC(=O)N(c2cc(Cl)cc(Cl)c2)C1=O
1 13311-84-7 CC(C)C(=O)Nc1cc(c(cc1)[N+]([O-])=O)C(F)(F)F
1 145-73-3 OC(=O)C1C(C2CCC1O2)C(O)=O
1 32809-16-8 CC12CC1(C)C(=O)N(c1cc(Cl)cc(Cl)c1)C2=O
1 63612-50-0 CC1(C)NC(=O)N(C1=O)c1cc(c(cc1)[N+]([O-])=O)C(F)(F)F
1 35554-44-0 C=CCOC(C[n]1c[n]cc1)c1ccc(Cl)cc1Cl
1 112-63-0 CCCCC/C=C\C/C=C\CCCCCCCC(=O)OC
1 55-38-9 Cc1cc(ccc1SC)OP(=S)(OC)OC
1 709-98-8 CCC(=O)Nc1cc(Cl)c(Cl)cc1
1 1836-75-5 [O-][N+](=O)c1ccc(cc1)Oc1ccc(Cl)cc1Cl
1 330-55-2 CON(C)C(=O)Nc1cc(Cl)c(Cl)cc1
1 135158-54-2 CSC(=O)c1cccc2[n][n][s]c12
1 86-50-0 COP(=S)(OC)SCN1N=Nc2ccccc2C1=O
1 2634-33-5 O=C1NSc2ccccc21
1 705-60-2 CC(=Cc1ccccc1)[N+]([O-])=O
1 97-56-3 Cc1ccccc1N=Nc1cc(C)c(N)cc1
1 78491-02-8 OCNC(=O)N(CO)C1C(=O)N(CO)C(=O)N1CO
1 35691-65-7 N#CCCC(Br)(CBr)C#N
1 122-14-5 Cc1cc(ccc1[N+]([O-])=O)OP(=S)(OC)OC
1 1192-52-5 O=C1SSC(Cl)=C1Cl
1 56-38-2 CCOP(=S)(Oc1ccc(cc1)[N+]([O-])=O)OCC
1 298-00-0 COP(=S)(Oc1ccc(cc1)[N+]([O-])=O)OC
1 97-00-7 [O-][N+](=O)c1cc(ccc1Cl)[N+]([O-])=O
1 55406-53-6 CCCCNC(=O)OCC#CI
1 6317-18-6 N#CSCSC#N
1 2321-07-5 Oc1cc2Oc3cc(O)ccc3C3(OC(=O)c4ccccc34)c2cc1
1 4574-04-3 CCCCCCCCCCCCCC[N+](C)(C)C
1 10453-86-8 CC(C)=CC1C(C(=O)OCc2coc(Cc3ccccc3)c2)C1(C)C
1 1062243-51-9 CN1CCC(CC1)NC(=O)c1ccc(Nc2[n]c3c(c[n]2)N(C)C(=O)C(F)(F)CN3C2CCCC2)c(c1)OC
1 110488-70-5 COc1ccc(cc1OC)C(=CC(=O)N1CCOCC1)c1ccc(Cl)cc1
1 112-00-5 CCCCCCCCCCCC[N+](C)(C)C
1 114369-43-6 N#CC(C[n]1c[n]c[n]1)(CCc1ccc(Cl)cc1)c1ccccc1
1 115-39-9 Oc1c(Br)cc(cc1Br)C1(OS(=O)(=O)c2ccccc12)c1cc(Br)c(O)c(Br)c1
1 119-47-1 CC(C)(C)c1cc(C)cc(Cc2cc(C)cc(c2O)C(C)(C)C)c1O
1 124-94-7 C[C@]12C=CC(=O)C=C1CC[C@H]1[C@@H]3C[C@@H](O)[C@](O)(C(=O)CO)[C@@]3(C)C[C@H](O)[C@]21F
1 125116-23-6 CC1(C)CCC(Cc2ccc(Cl)cc2)C1(O)C[n]1c[n]c[n]1
1 126-72-7 O=P(OCC(Br)CBr)(OCC(Br)CBr)OCC(Br)CBr
1 129453-61-8 C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2O)[C@@H](Cc1cc(O)ccc13)CCCCCCCCCS(=O)CCCC(F)(F)C(F)(F)F
1 131983-72-7 CC1(C)CCC(=Cc2ccc(Cl)cc2)C1(O)C[n]1c[n]c[n]1
1 13674-87-8 O=P(OC(CCl)CCl)(OC(CCl)CCl)OC(CCl)CCl
1 139340-56-0 CC(C)(C)c1cc(/C=C2\SC(=N)NC\2=O)cc(c1O)C(C)(C)C
1 1401-55-4 Oc1c(cc(cc1O)C(=O)OC[C@H]1O[C@@H](OC(=O)c2cc(O)c(O)c(c2)OC(=O)c2cc(O)c(O)c(O)c2)[C@H](OC(=O)c2cc(O)c(O)c(c2)OC(=O)c2cc(O)c(O)c(O)c2)[C@@H](OC(=O)c2cc(O)c(O)c(c2)OC(=O)c2cc(O)c(O)c(O)c2)[C@@H]1OC(=O)c1cc(O)c(O)c(c1)OC(=O)c1cc(O)c(O)c(O)c1)OC(=O)c1cc(O)c(O)c(O)c1
1 145742-28-5 COc1ccc(cc1CN[C@H]1CCCN[C@H]1c1ccccc1)OC(F)(F)F
1 15972-60-8 COCN(C(=O)CCl)c1c(CC)cccc1CC
1 17372-87-1 OC(=O)c1ccccc1C1c2cc(Br)c(O)c(Br)c2OC2C=1C=C(Br)C(=O)C=2Br
1 180084-01-9 CCN1CCC2(COc3cc4CCN(C(=O)c5ccc(cc5)-c5ccc(cc5C)-c5[n][n]c(C)o5)c4cc23)CC1
1 18924-66-8 CCCCCCCCCCCCCCN(CCO)CCO
1 196808-45-4 Cc1oc([n]c1CCOc1ccc(C[C@H](Nc2ccccc2C(=O)c2ccccc2)C(O)=O)cc1)-c1ccccc1
1 19774-82-4 CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1
1 221246-12-4 CCc1cc(cc2OCOc12)C1=C(C(O)=O)N(c2ccccc2C(F)(F)F)S(=O)(=O)c2ccccc21
1 221671-62-1 Cc1cc2cc(C(=O)Nc3[n]c(-c4cc(OC)c(Cl)cc4OC)c(CCC4CCCCC4)[s]3)[n](CC(O)=O)c2c(C)c1
1 22260-51-1 CN1C[C@@H](C=C2[C@H]1Cc1c(Br)[nH]c3cccc2c13)C(=O)N[C@@]1(O[C@@]2(O)[C@@H]3CCCN3C(=O)[C@H](CC(C)C)N2C1=O)C(C)C
1 23031-36-9 CC(C)=CC1C(C(=O)OC2CC(=O)C(CC#C)=C2C)C1(C)C
1 2353-45-9 CC[N+](Cc1cc(ccc1)S(O)(=O)=O)=C1C=CC(C=C1)=C(c1ccc(O)cc1S(O)(=O)=O)c1ccc(cc1)N(Cc1cc(ccc1)S(O)(=O)=O)CC
1 2392-39-4 C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)COP(O)(O)=O
1 24169-02-6 Clc1cc(Cl)c(cc1)C(C[n]1c[n]cc1)OCc1ccc(Cl)cc1
1 2465-27-2 CN(C)c1ccc(cc1)C(=N)c1ccc(cc1)N(C)C
1 2772-45-4 CC(C)(c1cc(c(O)cc1)C(C)(C)c1ccccc1)c1ccccc1
1 27955-94-8 CC(c1ccc(O)cc1)(c1ccc(O)cc1)c1ccc(O)cc1
1 291305-06-1 CN[C@H]1CC[C@H](c2ccc(cc21)S(N)(=O)=O)c1cc(Cl)c(Cl)cc1
1 2919-66-6 CC(=O)[C@@]1(OC(C)=O)C(=C)C[C@H]2[C@@H]3C=C(C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
1 361343-19-3 CN1CCN(CC1)c1ccccc1/C=C1\SCCN(C\1=O)c1cc(Cl)c(Cl)cc1
1 3691-35-8 O=C(C(c1ccc(Cl)cc1)c1ccccc1)C1C(=O)c2ccccc2C1=O
1 3844-45-9 CC[N+](Cc1cc(ccc1)S(O)(=O)=O)=C1C=CC(C=C1)=C(c1ccccc1S(O)(=O)=O)c1ccc(cc1)N(Cc1cc(ccc1)S(O)(=O)=O)CC
1 427-51-0 C[C@]12CC[C@H]3[C@@H](C=C(Cl)C4=CC(=O)[C@@H]5C[C@@H]5[C@@]43C)[C@@H]1CC[C@]2(OC(C)=O)C(C)=O
1 444610-91-7 COc1ccc(cc1)N1CCN(Cc2[n]c([s]c2CSc2cc(CC)c(cc2)OCC(O)=O)-c2ccc(cc2)C(F)(F)F)CC1
1 460081-99-6 OC(=O)c1cc(ccc1)N(Cc1c[n]ccc1)c1cc(OC(F)F)c(cc1)OC(F)F
1 50-14-6 CC(C)[C@@H](C)/C=C/[C@@H](C)[C@H]1CC[C@H]2/C(/CCC[C@@]21C)=C/C=C1/C[C@@H](O)CCC/1=C
1 50-41-9 CCN(CCOc1ccc(cc1)C(=C(Cl)c1ccccc1)c1ccccc1)CC
1 50-55-5 COC(=O)[C@@H]1[C@@H](OC)[C@@H](C[C@@H]2CN3CCc4c([nH]c5cc(ccc45)OC)[C@H]3C[C@@H]21)OC(=O)c1cc(OC)c(OC)c(c1)OC
1 5116-94-9 CCCCCCCCCCCCCOP(O)(O)=O
1 5137-55-3 C[N+](CCCCCCCC)(CCCCCCCC)CCCCCCCC
1 55285-14-8 CN(SN(CCCC)CCCC)C(=O)Oc1cccc2CC(C)(C)Oc21
1 56-95-1 N=C(NC(=N)NCCCCCCNC(=N)NC(=N)Nc1ccc(Cl)cc1)Nc1ccc(Cl)cc1
1 57-09-0 CCCCCCCCCCCCCCCC[N+](C)(C)C
1 577-11-7 CCC(COC(=O)CC(C(=O)OCC(CCCC)CC)S(O)(=O)=O)CCCC
1 588941-45-1 CS(=O)(=O)c1ccc(cc1Cl)[C@@H](CC1CCCC1)C(=O)Nc1c[n]cc[n]1
1 59227-89-3 CCCCCCCCCCCCN1CCCCCC1=O
1 6088-51-3 Oc1cc2ccc(cc2cc1)SSc1cc2ccc(O)cc2cc1
1 61-73-4 CN(C)c1cc2[s+]c3cc(ccc3[n]c2cc1)N(C)C
1 630-56-8 CC(=O)[C@]1(CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C)OC(=O)CCCCC
1 64359-81-5 CCCCCCCCN1SC(Cl)=C(Cl)C1=O
1 65277-42-1 CC(=O)N1CCN(CC1)c1ccc(cc1)OC[C@H]1CO[C@@](C[n]2c[n]cc2)(O1)c1ccc(Cl)cc1Cl
1 67485-29-4 CC1(C)CNC(NC1)=NN=C(/C=C/c1ccc(cc1)C(F)(F)F)/C=C/c1ccc(cc1)C(F)(F)F
1 676116-04-4 Cc1cc(CCN2CCN(CC2)c2[n][s]c3ccccc32)cc2c1NC(=O)CC2(C)C
1 68392-35-8 CCC(=C(c1ccc(cc1)OCCN(C)C)c1ccc(O)cc1)c1ccccc1
1 686756-87-6 CN1C(=O)N(Cc2c[n]c(Nc3cc4OCC(CO)Oc4cc3)[n]c12)c1ccccc1Br
1 72-33-3 C[C@]12CC[C@H]3[C@@H](CCc4cc(ccc43)OC)[C@@H]1CC[C@@]2(O)C#C
1 725228-45-5 NCc1cc(ccc1)C1CCN(CC1)C(=O)c1ccc(C#Cc2ccccc2F)o1
1 77-09-8 Oc1ccc(cc1)C1(OC(=O)c2ccccc12)c1ccc(O)cc1
1 79622-59-6 [O-][N+](=O)c1cc(c(Cl)c(c1Nc1[n]cc(cc1Cl)C(F)(F)F)[N+]([O-])=O)C(F)(F)F
1 81741-28-8 CCCCCCCCCCCCCC[P+](CCCC)(CCCC)CCCC
1 82640-04-8 Oc1ccc(cc1)-c1[s]c2cc(O)ccc2c1C(=O)c1ccc(cc1)OCCN1CCCCC1
1 83-79-4 CC(=C)[C@H]1Cc2c3O[C@@H]4COc5cc(OC)c(cc5[C@@H]4C(=O)c3ccc2O1)OC
1 85509-19-9 C[Si](C[n]1c[n]c[n]1)(c1ccc(F)cc1)c1ccc(F)cc1
1 88-24-4 CC(C)(C)c1cc(CC)cc(Cc2cc(CC)cc(c2O)C(C)(C)C)c1O
1 97-77-8 CCN(CC)C(=S)SSC(=S)N(CC)CC
1 DB00687 CC12CCC(=O)C=C1CCC1C3CCC(O)(C(=O)CO)C3(C)CC(O)C21F
1 DB00984 CC12CCC3C4CCC(=O)C=C4CCC3C1CCC2OC(=O)CCc1ccccc1
1 DB01185 CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3(F)C(O)CC12C
1 DB01395 CC12CCC3C(C1C1CC1C12CCC(=O)O1)C1CC1C1=CC(=O)CCC13C
1 DB01406 CC12CCC3C(CCC4=Cc5o[n]cc5CC43C)C1CCC2(O)C#C
1 DB01420 CCC(=O)OC1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C
1 DB01564 CC1CC2=CC(=O)CCC2(C)C2CCC3(C)C(CCC3(C)O)C12
1 DB04839 CC12CCC3C(C=C(Cl)C4=CC(=O)C5CC5C43C)C1CCC2(OC(C)=O)C(C)=O
1 DB06412 CC1(O)CCC2C3CCC4CC(=O)C(CC4(C)C3CCC12C)=CO
1 DB08804 CCCCCCCCCC(=O)OC1CCC2C3CCC4=CC(=O)CCC4C3CCC21C
1 DB08899 CC1(C)C(=O)N(C(=S)N1c1cc(F)c(cc1)C(=O)NC)c1cc(c(cc1)C#N)C(F)(F)F
1 NOCAS_47311 Cc1[n]c2ccccc2[n]1C1CC2CCC(C1)N2CCC1(CCN(CC1)C(=O)c1cc(c(F)cc1Cl)S(=O)(=O)NC)c1cccc(F)c1
1 NOCAS_47328 NC(=O)c1[nH]c([n][n]1)-c1cc(ccc1)-c1cc(F)ccc1OCC(F)(F)C(F)(F)F
1 NOCAS_47334 Fc1ccccc1[C@@H](F)CO[C@@H]1CC[C@H](CC1)Nc1:[nH]:c:[n]:c2:[n]:[n]:c:c:1-2
1 NOCAS_47353 CN(C)C(=O)C1(CCN(CCC2(CN(CCO2)C(=O)c2ccccc2)c2cc(Cl)c(Cl)cc2)CC1)N1CCCCC1
1 NOCAS_47377 CC(C)N1CCC(CC1)NC(=O)c1cc2cc(ccc2[n]1Cc1cc(o[n]1)-c1ccc(Cl)[s]1)C(=O)O[C@@H](C)OC(=O)OCC
1 NOCAS_47379 CCN(Cc1c[n]ccc1)C(=O)c1cccc(Cl)c1[C@]1(C)C(=O)N(Cc2ccc(cc2OC)OC)c2ccc(Cl)cc12
1 NOCAS_47389 CCOC(=O)c1ccc(cc1)[C@@H]1CC[C@H](CC1)NC[C@H](O)COc1ccc(O)c(c1)NS(C)(=O)=O
1 NOCAS_48505 Cc1[nH][n]c2Nc3ccc(cc3C(=Nc21)c1ccccc1Cl)[N+]([O-])=O
