s_sd_Canonical\_QSARr,s_m_title,HumDockScore,RatDockScore,ChimpDockScore,AVG,bindingClass,P_Act_dockChimp,P_Inact,PredBayes,ratio,cas,casrn,cid,gsid,dsstox_substance_id,preferred_name,Canonical_QSARr,InChI_Code_QSARr,InChI Key_QSARr,BindingClass,avgD_Act,avgD_Inact,PredBindingClass,predMLogR
Oc1cc(O)cc2OC(c3ccc(O)cc3)=C(O)C(=O)c12,520-18-3,-11.21022467,-11.11009796,-11.54754583,-11.28928949,0,0.081608015,0.004223446,1,19.32261323,520-18-3,520-18-3,768,20768,DTXSID7020768,Kaempferol,Oc1cc(O)cc2OC(c3ccc(O)cc3)=C(O)C(=O)c12,"InChI=1S/C15H10O6/c16-8-3-1-7(2-4-8)15-14(20)13(19)12-10(18)5-9(17)6-11(12)21-15/h1-6,16-18,20H",IYRMWMYZSQPJKC-UHFFFAOYSA-N,0,0.8965,0.9198,0.457993895,0
CC[C@]12CC[C@@H]3[C@H]4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@]2(O)C#C,797-63-7,-10.68168107,0,-11.35611014,-7.345930403,1,0.09287158,0.005476147,1,16.95929216,797-63-7,797-63-7,16496,36496,DTXSID3036496,Norgestrel,CC[C@]12CC[C@@H]3[C@H]4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@@]2(O)C#C,"InChI=1S/C21H28O2/c1-3-20-11-9-17-16-8-6-15(22)13-14(16)5-7-18(17)19(20)10-12-21(20,23)4-2/h2,13,16-19,23H,3,5-12H2,1H3/t16-,17+,18+,19-,20-,21-/m0/s1",WWYNJERNGUHSAO-XUDSTZEESA-N,1,0.866,0.9156,0.929783726,1
CC12C=CC3C(CCC4=CC(=O)CCC4=3)C1CCC2(C)O,DB02998,-10.37643147,-6.233506009,-11.34914929,-9.31969559,1,0.093292094,0.005527169,1,16.87882092,,DB02998,,,,,CC12C=CC3C(CCC4=CC(=O)CCC4=3)C1CCC2(C)O,"InChI=1S/C19H24O2/c1-18-9-7-15-14-6-4-13(20)11-12(14)3-5-16(15)17(18)8-10-19(18,2)21/h7,9,11,16-17,21H,3-6,8,10H2,1-2H3",CCCIJQPRIXGQOE-UHFFFAOYSA-N,1,0.8853,0.9331,0.864520815,1
Oc1cc2OC(c3cc(O)c(O)cc3)=C(O)C(=O)c2c(O)c1,117-39-5,-12.42856421,-12.67950787,-11.34419205,-12.15075471,0,0.093591993,0.005563753,1,16.82173637,117-39-5,117-39-5,1218,21218,DTXSID4021218,Quercetin,Oc1cc2OC(c3cc(O)c(O)cc3)=C(O)C(=O)c2c(O)c1,"InChI=1S/C15H10O7/c16-7-4-10(19)12-11(5-7)22-15(14(21)13(12)20)6-1-2-8(17)9(18)3-6/h1-5,16-19,21H",REFJWTPEDVJJIY-UHFFFAOYSA-N,0,0.9025,0.9236,0.382811555,0
Oc1ccc(cc1I)Oc1c(I)cc(CC(O)=O)cc1I,51-24-1,-9.855180324,-9.818937364,-11.16923566,-10.28111778,0,0.104379701,0.006995128,1,14.92177136,51-24-1,51-24-1,25232,45232,DTXSID2045232,Tiratricol,Oc1ccc(cc1I)Oc1c(I)cc(CC(O)=O)cc1I,"InChI=1S/C14H9I3O4/c15-9-6-8(1-2-12(9)18)21-14-10(16)3-7(4-11(14)17)5-13(19)20/h1-4,6,18H,5H2,(H,19,20)",UOWZUVNAGUAEQC-UHFFFAOYSA-N,0,0.8876,0.8944,0.280801683,0
CC12CCC3C(CCC4CC(=O)CCC43C)C1CCC2O,DB02901,-10.11672012,0,-11.16170544,-7.092808518,1,0.104851805,0.007063196,1,14.84481107,,DB02901,,,,,CC12CCC3C(CCC4CC(=O)CCC43C)C1CCC2O,"InChI=1S/C19H30O2/c1-18-9-7-13(20)11-12(18)3-4-14-15-5-6-17(21)19(15,2)10-8-16(14)18/h12,14-17,21H,3-11H2,1-2H3",NVKAWKQGWWIWPM-UHFFFAOYSA-N,1,0.8776,0.9283,0.910193876,1
CC(CCC(O)=O)(c1ccc(O)cc1)c1ccc(O)cc1,126-00-1,-11.31426082,-10.24313158,-11.00580632,-10.85439957,0,0.114731106,0.008603997,1,13.33462869,126-00-1,126-00-1,2436,22436,DTXSID0022436,Diphenolic acid,CC(CCC(O)=O)(c1ccc(O)cc1)c1ccc(O)cc1,"InChI=1S/C17H18O4/c1-17(11-10-16(20)21,12-2-6-14(18)7-3-12)13-4-8-15(19)9-5-13/h2-9,18-19H,10-11H2,1H3,(H,20,21)",VKOUCJUTMGHNOR-UHFFFAOYSA-N,0,0.8692,0.8743,0.388903132,0
C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc43)[C@@H]1CC[C@H]2O,57-91-0,-10.69580382,-10.86022483,-10.93078776,-10.8289388,1,0.119536113,0.009440772,1,12.66168886,57-91-0,57-91-0,2377,22377,DTXSID8022377,17alpha-Estradiol,C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc43)[C@@H]1CC[C@H]2O,"InChI=1S/C18H24O2/c1-18-9-8-14-13-5-3-12(19)10-11(13)2-4-15(14)16(18)6-7-17(18)20/h3,5,10,14-17,19-20H,2,4,6-9H2,1H3/t14-,15-,16+,17-,18+/m1/s1",VOXZDWNPVJITMN-SFFUCWETSA-N,1,0.861,0.9286,0.982026036,1
O[C@H]1[C@H](O[C@H](CO)[C@@H](O)[C@@H]1O)O[C@]1(CO)O[C@H](CO)[C@@H](O)[C@@H]1O,57-50-1,-10.62270884,-9.571237092,-10.92209583,-10.37201392,0,0.12009408,0.00954198,1,12.58586515,57-50-1,57-50-1,1288,21288,DTXSID2021288,Sucrose,O[C@H]1[C@H](O[C@H](CO)[C@@H](O)[C@@H]1O)O[C@]1(CO)O[C@H](CO)[C@@H](O)[C@@H]1O,"InChI=1S/C12H22O11/c13-1-4-6(16)8(18)9(19)11(21-4)23-12(3-15)10(20)7(17)5(2-14)22-12/h4-11,13-20H,1-3H2/t4-,5-,6-,7-,8+,9-,10+,11-,12+/m1/s1",CZMRCDWAGMRECN-UGDNZRGBSA-N,0,0.9502,0.9547,0.04546062,0
,68-96-2,0,-9.471553615,-10.92178852,-6.79778071,1,0.120113811,0.009545575,1,12.58319228,68-96-2,68-96-2,20747,40747,DTXSID6040747,17alpha-Hydroxyprogesterone,CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,"InChI=1S/C21H30O3/c1-13(22)21(24)11-8-18-16-5-4-14-12-15(23)6-9-19(14,2)17(16)7-10-20(18,21)3/h12,16-18,24H,4-11H2,1-3H3/t16-,17+,18+,19+,20+,21+/m1/s1",DBPWSSGDRRHUNT-CEGNMAFCSA-N,1,0.8548,0.9171,0.979019491,1
C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc43)[C@@H]1CCC2=O,53-16-7,-9.792771579,-10.41460177,-10.89507175,-10.3674817,1,0.121829927,0.009862455,1,12.35290124,53-16-7,53-16-7,2367,22367,DTXSID4022367,Estrone,C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc43)[C@@H]1CCC2=O,"InChI=1S/C18H22O2/c1-18-9-8-14-13-5-3-12(19)10-11(13)2-4-15(14)16(18)6-7-17(18)20/h3,5,10,14-16,19H,2,4,6-9H2,1H3/t14-,15-,16+,18+/m1/s1",DNXHEGUUPJUMQT-CBZIJGRNSA-N,1,0.8526,0.9166,0.982524409,1
Oc1ccc(cc1)C(c1ccc(O)cc1)C(Cl)(Cl)Cl,2971-36-0,-9.835786392,-9.848064553,-10.87169793,-10.18518296,1,0.123332225,0.010146829,1,12.15475534,2971-36-0,2971-36-0,2325,22325,DTXSID8022325,"2,2-Bis(4-hydroxyphenyl)-1,1,1-trichloroethane",Oc1ccc(cc1)C(c1ccc(O)cc1)C(Cl)(Cl)Cl,"InChI=1S/C14H11Cl3O2/c15-14(16,17)13(9-1-5-11(18)6-2-9)10-3-7-12(19)8-4-10/h1-8,13,18-19H",IUGDILGOLSSKNE-UHFFFAOYSA-N,1,0.8954,0.9206,0.5200764,1
CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1cc(c(cc1)C#N)C(F)(F)F,90357-06-5,-11.83771005,0,-10.86312757,-7.566945875,1,0.123883188,0.010252794,1,12.08287121,90357-06-5,90357-06-5,820065,22678,DTXSID2022678,Bicalutamide,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1cc(c(cc1)C#N)C(F)(F)F,"InChI=1S/C18H14F4N2O4S/c1-17(26,10-29(27,28)14-6-3-12(19)4-7-14)16(25)24-13-5-2-11(9-23)15(8-13)18(20,21)22/h2-8,26H,10H2,1H3,(H,24,25)",LKJPYSCBVHEWIU-UHFFFAOYSA-N,1,0.8876,0.902,0.402485759,0
CC[C@H]([C@H](CC)c1ccc(O)cc1)c1ccc(O)cc1,84-16-2,-10.31851886,-9.354712888,-10.85906701,-10.17743292,1,0.124144243,0.010303319,1,12.04895606,84-16-2,84-16-2,2381,22381,DTXSID2022381,meso-Hexestrol,CC[C@H]([C@H](CC)c1ccc(O)cc1)c1ccc(O)cc1,"InChI=1S/C18H22O2/c1-3-17(13-5-9-15(19)10-6-13)18(4-2)14-7-11-16(20)12-8-14/h5-12,17-20H,3-4H2,1-2H3/t17-,18+",PBBGSZCBWVPOOL-HDICACEKSA-N,1,0.8695,0.8822,0.515990274,1
C[C@]12CC[C@@H]3c4ccc(O)cc4CC=C3[C@@H]1CCC2=O,474-86-2,-9.946912312,-10.63407131,-10.85822116,-10.47973492,1,0.124198623,0.01031387,1,12.04190278,474-86-2,474-86-2,27433,47433,DTXSID7047433,Equilin,C[C@]12CC[C@@H]3c4ccc(O)cc4CC=C3[C@@H]1CCC2=O,"InChI=1S/C18H20O2/c1-18-9-8-14-13-5-3-12(19)10-11(13)2-4-15(14)16(18)6-7-17(18)20/h3-5,10,14,16,19H,2,6-9H2,1H3/t14-,16+,18+/m1/s1",WKRLQDKEXYKHJB-HFTRVMKXSA-N,1,0.8662,0.9182,0.942659142,1
,57-83-0,0,0,-10.83333813,-3.611112711,1,0.125798382,0.010628293,1,11.83617927,57-83-0,57-83-0,2370,22370,DTXSID3022370,Progesterone,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,"InChI=1S/C21H30O2/c1-13(22)17-6-7-18-16-5-4-14-12-15(23)8-10-20(14,2)19(16)9-11-21(17,18)3/h12,16-19H,4-11H2,1-3H3/t16-,17+,18-,19-,20-,21+/m0/s1",RJKFOVLPORLFTN-LEKSSAKUSA-N,1,0.8648,0.9242,0.965842449,1
Oc1cc(O)cc2OC(=CC(=O)c12)c1ccc(O)cc1,520-36-5,-10.95245884,-10.75329666,-10.7195436,-10.80843304,1,0.133101681,0.01216909,1,10.93768606,520-36-5,520-36-5,2391,22391,DTXSID6022391,Apigenin,Oc1cc(O)cc2OC(=CC(=O)c12)c1ccc(O)cc1,"InChI=1S/C15H10O5/c16-9-3-1-8(2-4-9)13-7-12(19)15-11(18)5-10(17)6-14(15)20-13/h1-7,16-18H",KZNIFHPLKGYRTM-UHFFFAOYSA-N,1,0.8848,0.91,0.606012754,1
CC1CC(CC(C)(C)C1)OC(=O)c1ccccc1O,118-56-9,-9.286788593,0,-10.7044983,-6.663762299,0,0.134063971,0.012385895,1,10.82392262,118-56-9,118-56-9,6241,26241,DTXSID1026241,"3,3,5-Trimethylcyclohexyl salicylate",CC1CC(CC(C)(C)C1)OC(=O)c1ccccc1O,"InChI=1S/C16H22O3/c1-11-8-12(10-16(2,3)9-11)19-15(18)13-6-4-5-7-14(13)17/h4-7,11-12,17H,8-10H2,1-3H3",WSSJONWNBBTCMG-UHFFFAOYSA-N,0,0.8717,0.8863,0.534084361,1
C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CCC2=O,63-05-8,-9.417615331,-1.82941524,-10.6904578,-7.312496122,1,0.134960947,0.012591068,1,10.71878461,63-05-8,63-05-8,4523,24523,DTXSID8024523,"4-Androstene-3,17-dione",C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CCC2=O,"InChI=1S/C19H26O2/c1-18-9-7-13(20)11-12(18)3-4-14-15-5-6-17(21)19(15,2)10-8-16(14)18/h11,14-16H,3-10H2,1-2H3/t14-,15-,16-,18-,19-/m0/s1",AEMFNILZOJDQLW-QAGGRKNESA-N,1,0.8668,0.9308,0.973408254,1
CNC1C=NN(C(=O)C=1Cl)c1cc(ccc1)C(F)(F)F,27314-13-2,-9.515159147,-9.175048495,-10.65318043,-9.781129357,0,0.137336726,0.013149328,1,10.4443915,27314-13-2,27314-13-2,4234,24234,DTXSID8024234,Norflurazon,CNC1C=NN(C(=O)C=1Cl)c1cc(ccc1)C(F)(F)F,"InChI=1S/C12H9ClF3N3O/c1-17-9-6-18-19(11(20)10(9)13)8-4-2-3-7(5-8)12(14,15)16/h2-6,17H,1H3",NVGOPFQZYCNLDU-UHFFFAOYSA-N,0,0.8942,0.9128,0.424816404,0
Oc1cc(O)cc2OC=C(C(=O)c12)c1ccc(O)cc1,446-72-0,-10.87296556,-10.35179139,-10.64188203,-10.62221299,0,0.13805496,0.013322464,1,10.36256946,446-72-0,446-72-0,2308,22308,DTXSID5022308,Genistein,Oc1cc(O)cc2OC=C(C(=O)c12)c1ccc(O)cc1,"InChI=1S/C15H10O5/c16-9-3-1-8(2-4-9)11-7-20-13-6-10(17)5-12(18)14(13)15(11)19/h1-7,16-18H",TZBJGXHYKVUXJN-UHFFFAOYSA-N,0,0.8962,0.9201,0.497361634,0
,DB00621,0,0,-10.62209856,-3.540699522,1,0.139310263,0.013630097,1,10.22078291,,DB00621,,,,,CC12CCC3C(CCC4CC(=O)OCC43C)C1CCC2(C)O,"InChI=1S/C19H30O3/c1-17-11-22-16(20)10-12(17)4-5-13-14(17)6-8-18(2)15(13)7-9-19(18,3)21/h12-15,21H,4-11H2,1-3H3",QSLJIVKCVHQPLV-UHFFFAOYSA-N,1,0.8858,0.9322,0.861324627,1
Oc1c(I)cc(cc1I)Oc1c(I)cc(CC(O)=O)cc1I,67-30-1,-10.91882672,-10.48192495,-10.57977624,-10.66017597,0,0.141984576,0.014307617,1,9.923705501,67-30-1,67-30-1,28160,48186,DTXSID5048186,Tetrac,Oc1c(I)cc(cc1I)Oc1c(I)cc(CC(O)=O)cc1I,"InChI=1S/C14H8I4O4/c15-8-4-7(5-9(16)13(8)21)22-14-10(17)1-6(2-11(14)18)3-12(19)20/h1-2,4-5,21H,3H2,(H,19,20)",PPJYSSNKSXAVDB-UHFFFAOYSA-N,0,0.9008,0.9028,0.165510385,0
C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CCC2=O,53-43-0,-10.70280704,0,-10.50750338,-7.07010347,1,0.146509375,0.015527449,1,9.435508529,53-43-0,53-43-0,379,20379,DTXSID4020379,Dehydroepiandrosterone,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CCC2=O,"InChI=1S/C19H28O2/c1-18-9-7-13(20)11-12(18)3-4-14-15-5-6-17(21)19(15,2)10-8-16(14)18/h3,13-16,20H,4-11H2,1-2H3/t13-,14-,15-,16-,18-,19-/m0/s1",FMGSKLZLMKYGDP-USOAJAOKSA-N,1,0.8755,0.9259,0.918893897,1
,56-53-1,0,-9.48150845,-10.49750618,-6.659671544,1,0.147130443,0.015702579,1,9.36982648,56-53-1,56-53-1,465,20465,DTXSID3020465,Diethylstilbestrol,CC/C(/c1ccc(O)cc1)=C(/CC)\c1ccc(O)cc1,"InChI=1S/C18H20O2/c1-3-17(13-5-9-15(19)10-6-13)18(4-2)14-7-11-16(20)12-8-14/h5-12,19-20H,3-4H2,1-2H3/b18-17+",RGLYKWWBQGJZGM-ISLYRVAYSA-N,1,0.8669,0.8809,0.565346746,1
CNCc1cc(F)ccc1Oc1cc(Cl)c(Cl)cc1,289716-94-5,-10.80381628,-10.18531636,-10.48600941,-10.49171402,1,0.147843074,0.015905936,1,9.294836278,289716-94-5,289716-94-5,27280,47280,DTXSID6047280,CP-607366,CNCc1cc(F)ccc1Oc1cc(Cl)c(Cl)cc1,"InChI=1S/C14H12Cl2FNO/c1-18-8-9-6-10(17)2-5-14(9)19-11-3-4-12(15)13(16)7-11/h2-7,18H,8H2,1H3",FQEBOQLYHASAOY-UHFFFAOYSA-N,1,0.8903,0.9094,0.466258321,0
Oc1cc(O)c(cc1)C(=O)c1ccc(O)cc1O,131-55-5,-9.748783141,-9.394411874,-10.45851432,-9.867236446,1,0.149540095,0.016400843,1,9.117829697,131-55-5,131-55-5,21306,41306,DTXSID5041306,"2,2',4,4'-Tetrahydroxybenzophenone",Oc1cc(O)c(cc1)C(=O)c1ccc(O)cc1O,"InChI=1S/C13H10O5/c14-7-1-3-9(11(16)5-7)13(18)10-4-2-8(15)6-12(10)17/h1-6,14-17H",WXNRYSGJLQFHBR-UHFFFAOYSA-N,1,0.8703,0.8883,0.604705995,1
Oc1ccc2ccc3cccc4ccc1c2c34,5315-79-7,-10.2732391,-10.37499223,-10.45625397,-10.36816177,1,0.149679132,0.016442071,1,9.103423392,5315-79-7,5315-79-7,18298,38298,DTXSID1038298,1-Hydroxypyrene,Oc1ccc2ccc3cccc4ccc1c2c34,"InChI=1S/C16H10O/c17-14-9-7-12-5-4-10-2-1-3-11-6-8-13(14)16(12)15(10)11/h1-9,17H",BIJNHUAPTJVVNQ-UHFFFAOYSA-N,1,0.9035,0.9195,0.318910703,0
,50-22-6,0,0,-10.43374475,-3.477914917,1,0.151059585,0.016857162,1,8.96115185,50-22-6,50-22-6,2474,22474,DTXSID6022474,Corticosterone,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@]2(C)[C@H](CC[C@H]21)C(=O)CO,"InChI=1S/C21H30O4/c1-20-8-7-13(23)9-12(20)3-4-14-15-5-6-16(18(25)11-22)21(15,2)10-17(24)19(14)20/h9,14-17,19,22,24H,3-8,10-11H2,1-2H3/t14-,15-,16+,17-,19+,20-,21-/m0/s1",OMFXVFTZEKFJBZ-HJTSIMOOSA-N,1,0.8666,0.9189,0.944784287,1
,57-85-2,0,0,-10.3243393,-3.441446433,1,0.157650171,0.018994927,1,8.299593415,57-85-2,57-85-2,16515,36515,DTXSID9036515,Testosterone propionate,CCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,"InChI=1S/C22H32O3/c1-4-20(24)25-19-8-7-17-16-6-5-14-13-15(23)9-11-21(14,2)18(16)10-12-22(17,19)3/h13,16-19H,4-12H2,1-3H3/t16-,17-,18-,19-,21-,22-/m0/s1",PDMMFKSKQVNJMI-BLQWBTBKSA-N,1,0.853,0.9094,0.972014986,1
NC(=O)N(O)[C@@H]1COc2cc(ccc21)OCc1ccccc1,139149-55-6,-10.90172981,0,-10.27128753,-7.057672447,0,0.160764589,0.020105668,1,7.995983434,139149-55-6,139149-55-6,27318,47318,DTXSID1047318,SB202235,NC(=O)N(O)[C@@H]1COc2cc(ccc21)OCc1ccccc1,"InChI=1S/C16H16N2O4/c17-16(19)18(20)14-10-22-15-8-12(6-7-13(14)15)21-9-11-4-2-1-3-5-11/h1-8,14,20H,9-10H2,(H2,17,19)/t14-/m1/s1",FYAQEFBDKOWIIL-CQSZACIVSA-N,0,0.8774,0.8893,0.449481716,0
CC1CC2(C)C3CCC4(C)C(O)CCC4C3CCC2CC1=O,DB00858,-9.547145785,0,-10.26921047,-6.605452086,1,0.160885319,0.020150167,1,7.984316988,,DB00858,,,,,CC1CC2(C)C3CCC4(C)C(O)CCC4C3CCC2CC1=O,"InChI=1S/C20H32O2/c1-12-11-20(3)13(10-17(12)21)4-5-14-15-6-7-18(22)19(15,2)9-8-16(14)20/h12-16,18,22H,4-11H2,1-3H3",IKXILDNPCZPPRV-UHFFFAOYSA-N,1,0.8876,0.9355,0.868176132,1
Oc1ccc(Cl)cc1Cc1cc(Cl)ccc1O,97-23-4,-10.92863236,0,-10.22636009,-7.051664149,1,0.163354573,0.021085464,1,7.747259963,97-23-4,97-23-4,1824,21824,DTXSID6021824,Dichlorophen,Oc1ccc(Cl)cc1Cc1cc(Cl)ccc1O,"InChI=1S/C13H10Cl2O2/c14-10-1-3-12(16)8(6-10)5-9-7-11(15)2-4-13(9)17/h1-4,6-7,16-17H,5H2",MDNWOSOZYLHTCG-UHFFFAOYSA-N,1,0.8802,0.9085,0.691421013,1
